AGRICULTURAL AND APPLIED E,ALS,108,990,92,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,93,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,95,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,96,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,97,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,98,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,103,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Research and Thesis,ALS,108,999,80,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Research and Thesis,ALS,108,999,97,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
BIOLOGICAL SYSTEMS ENGINEE,ALS,112,1,10,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
BIOLOGICAL SYSTEMS ENGINEE,ALS,112,1,14,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
BIOLOGICAL SYSTEMS ENGINEE,ALS,112,1,15,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Product Design Practicum,ALS,112,170,1,20,3.675,"[45.0, 45.0, 10.0, None, None, None, None, None, None, None, None, None, None, None, None]"
Independent Study,ALS,112,299,15,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Career Management-Engineers,ALS,112,308,1,80,,"[None, None, None, None, None, None, None, None, 0.9, 5.0, 2.5, None, None, None, None]"
Quant Technqs-Biological Systm,ALS,112,349,1,68,2.684,"[8.8, 17.6, 35.3, 13.2, 10.3, 11.8, 2.9, None, None, None, None, None, None, None, None]"
Engr Prop-Food & Biol Matls,ALS,112,364,1,25,3.125,"[12.0, 20.0, 48.0, 12.0, 4.0, None, None, None, None, None, None, None, None, 4.0, None]"
Measrmt&Instrumntn-Biol Sys,ALS,112,365,1,69,2.877,"[8.7, 13.0, 37.7, 26.1, 14.5, None, None, None, None, None, None, None, None, None, None]"
