,#1,#2,#3,#4,#5,#6,#7,#8
6010,Machiavelli and His World,L&S,551,400,001,28,3.685,"[50.0, 39.3, 3.6, None, 3.6, None, None, None, None, None, None, None, None, 3.6, None]"
6011,Intermediate Algebra,L&S,600,101,002,14,3.0,"[35.7, 14.3, 21.4, None, 7.1, 7.1, 7.1, None, None, None, None, None, None, None, 7.1]"
6012,Intermediate Algebra,L&S,600,112,001,47,2.5,"[12.8, 6.4, 27.7, 6.4, 29.8, 12.8, 2.1, None, None, None, None, None, 2.1, None, None]"
6013,Intermediate Algebra,L&S,600,112,004,50,2.34,"[14.0, 10.0, 22.0, 14.0, 10.0, 22.0, 8.0, None, None, None, None, None, None, None, None]"
6014,Intermediate Algebra,L&S,600,112,007,40,2.263,"[10.0, 2.5, 15.0, 20.0, 35.0, 12.5, 5.0, None, None, None, None, None, None, None, None]"
6015,Algebra,L&S,600,113,001,38,2.921,"[18.4, 10.5, 31.6, 15.8, 23.7, None, None, None, None, None, None, None, None, None, None]"
6016,Algebra,L&S,600,113,002,32,2.766,"[15.6, 9.4, 25.0, 25.0, 18.8, 6.3, None, None, None, None, None, None, None, None, None]"
6017,Algebra,L&S,600,113,003,25,2.62,"[8.0, 12.0, 20.0, 32.0, 20.0, 8.0, None, None, None, None, None, None, None, None, None]"
6018,Algebra and Trigonometry,L&S,600,114,001,86,2.494,"[24.4, 7.0, 15.1, 12.8, 17.4, 15.1, 8.1, None, None, None, None, None, None, None, None]"
6019,Algebra and Trigonometry,L&S,600,130,001,32,2.688,"[15.6, 9.4, 31.3, 15.6, 15.6, 9.4, 3.1, None, None, None, None, None, None, None, None]"
6020,Algebra and Trigonometry,L&S,600,130,002,36,3.083,"[25.0, 25.0, 19.4, 19.4, 5.6, 2.8, 2.8, None, None, None, None, None, None, None, None]"
6021,Math for Tchng: Geom&Measrmnt,L&S,600,131,002,19,3.289,"[52.6, 5.3, 21.1, None, 15.8, 5.3, None, None, None, None, None, None, None, None, None]"
6022,Math for Tchng: Geom&Measrmnt,L&S,600,132,001,19,3.333,"[36.8, 21.1, 21.1, None, 15.8, None, None, None, None, None, None, None, 5.3, None, None]"
6023,Math for Tchng: Geom&Measrmnt,L&S,600,132,002,23,3.326,"[39.1, 17.4, 30.4, 4.3, 4.3, 4.3, None, None, None, None, None, None, None, None, None]"
6024,Algebraic Reasong-Teachng Math,L&S,600,135,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6025,Mathematics for Teaching,L&S,600,138,001,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6026,Quant Reasoning&Prob Solvng,L&S,600,141,001,35,3.557,"[62.9, 11.4, 14.3, 8.6, None, None, 2.9, None, None, None, None, None, None, None, None]"
6027,Quant Reasoning&Prob Solvng,L&S,600,211,001,209,2.925,"[20.6, 13.9, 23.9, 17.2, 21.5, 1.0, 1.0, 0.5, None, None, None, None, 0.5, None, None]"
6028,Quant Reasoning&Prob Solvng,L&S,600,211,002,260,3.023,"[28.1, 18.8, 17.3, 18.1, 11.2, 4.6, 1.9, None, None, None, None, None, None, None, None]"
6029,Calc/Intro-Differntl Equats,L&S,600,213,001,125,3.2,"[40.8, 11.2, 22.4, 6.4, 16.8, 0.8, 1.6, None, None, None, None, None, None, None, None]"
6030,Calc/Intro-Differntl Equats,L&S,600,217,001,187,2.987,"[20.3, 12.8, 30.5, 23.0, 10.2, 3.2, None, None, None, None, None, None, None, None, None]"
6031,Calc/Intro-Differntl Equats,L&S,600,217,002,221,2.846,"[18.1, 14.5, 25.3, 19.0, 16.7, 4.5, 1.8, None, None, None, None, None, None, None, None]"
6032,Calc with Algebra & Trig II,L&S,600,221,001,211,2.662,"[22.7, 10.0, 25.1, 8.1, 14.7, 14.2, 4.7, None, None, None, None, None, 0.5, None, None]"
6033,Calc with Algebra & Trig II,L&S,600,221,002,190,2.743,"[25.3, 9.5, 24.2, 10.5, 12.1, 12.6, 4.2, 0.5, None, None, None, None, 1.1, None, None]"
6034,Calculus&Analytic Geometry 1,L&S,600,222,001,169,2.873,"[23.7, 18.9, 23.7, 8.9, 13.6, 5.9, 5.3, None, None, None, None, None, None, None, None]"
6035,Calculus&Analytic Geometry 1,L&S,600,222,002,244,2.882,"[22.5, 16.8, 22.5, 13.9, 13.9, 6.6, 2.9, None, None, None, None, None, 0.4, 0.4, None]"
6036,Calculus&Analytic Geometry 1,L&S,600,222,003,228,2.952,"[18.4, 22.8, 20.2, 18.4, 15.4, 4.4, 0.4, None, None, None, None, None, None, None, None]"
6037,Calculus&Analytic Geometry 1,L&S,600,222,004,262,2.819,"[22.5, 13.7, 23.7, 12.6, 16.8, 7.6, 3.1, None, None, None, None, None, None, None, None]"
6038,Calculus&Analytic Geometry 2,L&S,600,228,033,12,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6039,Calculus&Analytic Geometry 2,L&S,600,228,034,7,3.929,"[85.7, 14.3, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6040,Calculus&Analytic Geometry 2,L&S,600,228,054,20,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6041,Calculus&Analytic Geometry 2,L&S,600,228,073,17,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6042,WES Calculus Supplement,L&S,600,234,001,269,2.856,"[13.4, 18.6, 30.1, 20.4, 9.3, 4.8, 2.6, 0.4, None, None, None, None, 0.4, None, None]"
6043,WES Calculus Supplement,L&S,600,234,002,252,3.012,"[21.4, 22.6, 23.4, 17.1, 8.7, 3.6, 2.4, None, None, None, None, None, 0.8, None, None]"
6044,WES Calculus Supplement,L&S,600,234,003,298,2.904,"[27.2, 8.4, 22.8, 17.4, 17.1, 5.0, 1.7, None, None, None, None, None, 0.3, None, None]"
6045,Calc--Functns of Variables,L&S,600,240,001,38,2.855,"[26.3, 10.5, 21.1, 13.2, 21.1, 5.3, 2.6, None, None, None, None, None, None, None, None]"
6046,Calc--Functns of Variables,L&S,600,240,002,51,2.745,"[19.6, 15.7, 27.5, 7.8, 9.8, 19.6, None, None, None, None, None, None, None, None, None]"
6047,Theory-Interst & Life Insur,L&S,600,303,002,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6048,Theory-Interst & Life Insur,L&S,600,309,001,26,2.692,"[19.2, 15.4, 19.2, 7.7, 26.9, 7.7, 3.8, None, None, None, None, None, None, None, None]"
6049,Theory-Interst & Life Insur,L&S,600,309,002,24,2.542,"[20.8, 16.7, 16.7, 8.3, 8.3, 25.0, 4.2, None, None, None, None, None, None, None, None]"
6050,Intro to Prob & Math Stat I,L&S,600,310,001,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
6051,Intro to Prob & Math Stat I,L&S,600,310,002,23,2.326,"[13.0, 13.0, 13.0, 8.7, 30.4, 13.0, 8.7, None, None, None, None, None, None, None, None]"
