Intro to Agr & Applied Econ,ALS,108,215,1,91,2.978,"[12.1, 17.6, 44.0, 11.0, 11.0, 3.3, None, None, None, None, None, None, None, None, 1.1]"
Climate Change Econ & Policy,ALS,108,246,1,46,3.391,"[52.2, 10.9, 21.7, 6.5, 4.3, 2.2, 2.2, None, None, None, None, None, None, None, None]"
The Real Estate Process,ALS,108,306,1,13,2.654,"[7.7, 23.1, 15.4, 15.4, 30.8, 7.7, None, None, None, None, None, None, None, None, None]"
Farming Systems Management,ALS,108,320,1,62,3.145,"[27.4, 27.4, 21.0, 4.8, 16.1, 1.6, 1.6, None, None, None, None, None, None, None, None]"
Cooperatives,ALS,108,323,1,18,3.528,"[50.0, 33.3, None, 5.6, 11.1, None, None, None, None, None, None, None, None, None, None]"
Issues in Food Systems,ALS,108,340,1,8,4,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Environmental Economics,ALS,108,343,1,34,3.032,"[14.7, 17.6, 38.2, 11.8, 8.8, 2.9, None, None, None, None, None, None, None, 2.9, 2.9]"
Growth&Develpmt Global Econ,ALS,108,374,1,35,3.443,"[34.3, 37.1, 20.0, 5.7, None, 2.9, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,375,3,21,3.342,"[23.8, 38.1, 14.3, 4.8, 9.5, None, None, 4.8, None, None, None, None, None, 4.8, None]"
Special Topics,ALS,108,399,79,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,399,85,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,399,86,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Special Topics,ALS,108,399,97,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Agricultural Finance,ALS,108,419,1,61,3.664,"[78.7, 8.2, 3.3, None, 4.9, 3.3, 1.6, None, None, None, None, None, None, None, None]"
Economic Decision Analysis,ALS,108,421,1,25,2.477,"[16.0, None, 4.0, 36.0, 20.0, 12.0, None, 4.0, None, None, None, None, 4.0, 4.0, None]"
Econ Grwth&Devlpmnt-SE Asia,ALS,108,473,1,24,3.417,"[50.0, 12.5, 16.7, 12.5, 8.3, None, None, None, None, None, None, None, None, None, None]"
Agri & Econ Development-Africa,ALS,108,477,1,9,3.688,"[55.6, 22.2, None, 11.1, None, None, None, 11.1, None, None, None, None, None, None, None]"
Quant Mthds-Ag & Appl Econ,ALS,108,526,1,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Intellectual Property Rights,ALS,108,540,1,7,3.143,"[14.3, 28.6, 28.6, 28.6, None, None, None, None, None, None, None, None, None, None, None]"
Energy Markets,ALS,108,561,1,13,3.375,"[23.1, 23.1, 46.2, None, None, None, None, None, None, None, None, None, None, None, 7.7]"
Applied Microeconomic Thry,ALS,108,635,1,12,3.682,"[41.7, 41.7, 8.3, None, None, None, None, None, None, None, None, None, 8.3, None, None]"
Applied Econometric Anal I,ALS,108,636,1,28,3.661,"[64.3, 14.3, 10.7, 10.7, None, None, None, None, None, None, None, None, None, None, None]"
Applied Econometric Anal I,ALS,108,699,80,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Applied Econometric Anal I,ALS,108,699,97,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Applied Econometric Anal I,ALS,108,699,98,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Development Economics 2,ALS,108,731,1,11,,"[None, None, None, None, None, None, None, None, None, None, None, None, 100.0, None, None]"
Agricultural Economics 1,ALS,108,746,1,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Envir & Resource Econ 2,ALS,108,762,1,6,4,"[66.7, None, None, None, None, None, None, None, None, None, None, None, 33.3, None, None]"
Resource/Engy Demand Analysis,ALS,108,771,1,10,3.55,"[40.0, 30.0, 30.0, None, None, None, None, None, None, None, None, None, None, None, None]"
Pract:Ag&Appl Econ Teaching,ALS,108,799,89,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Pract:Ag&Appl Econ Teaching,ALS,108,875,1,10,3.9,"[90.0, None, 10.0, None, None, None, None, None, None, None, None, None, None, None, None]"
Pract:Ag&Appl Econ Teaching,ALS,108,875,2,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,881,1,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,73,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,79,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,80,6,,"[None, None, None, None, None, None, None, 100.0, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,82,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,85,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Benefit-Cost Analysis,ALS,108,990,88,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,89,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,92,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,93,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,95,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
AGRICULTURAL AND APPLIED E,ALS,108,990,96,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
