,#1,#2,#3,#4,#5,#6,#7,#8
47,Land Surveying Fundamentals,ALS,112,201,001,33,3.266,"[18.2, 36.4, 27.3, 9.1, 6.1, None, None, None, None, None, None, None, None, None, None]"
48,Engr Principles-Biol Systms,ALS,112,249,001,57,2.982,"[12.3, 15.8, 49.1, 8.8, 10.5, 3.5, None, None, None, None, None, None, None, None, None]"
49,Intro to Computer Aided Design,ALS,112,270,001,47,3.213,"[27.7, 23.4, 31.9, 2.1, 12.8, 2.1, None, None, None, None, None, None, None, None, None]"
50,Struct Design-Ag Facilities,ALS,112,351,001,11,3.545,"[36.4, 36.4, 27.3, None, None, None, None, None, None, None, None, None, None, None, None]"
51,Struct Design-Ag Facilities,ALS,112,367,001,61,3.271,"[27.9, 24.6, 27.9, 8.2, 6.6, 1.6, None, None, None, None, None, None, None, None, 3.3]"
52,Struct Design-Ag Facilities,ALS,112,367,003,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
53,On-Site Waste Water Treatment,ALS,112,372,001,13,3.038,"[7.7, 30.8, 38.5, 7.7, 15.4, None, None, None, None, None, None, None, None, None, None]"
54,Coord Intrnshp/Cooprtv Educ,ALS,112,399,033,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
55,Career Management-Engineers,ALS,112,409,001,60,,"[None, None, None, None, None, None, None, None, 0.1, 0.0, None, None, None, None, None]"
56,Biorefining: Energy & Products,ALS,112,460,001,12,3.583,"[50.0, 25.0, 16.7, 8.3, None, None, None, None, None, None, None, None, None, None, None]"
57,Irrigatn&Drainage Sys Dsgn,ALS,112,473,001,16,2.833,"[12.5, 18.8, 31.3, 12.5, 6.3, 12.5, None, None, None, None, None, None, None, None, None]"
58,Engr Principles-Ag Machinery,ALS,112,475,001,24,2.729,"[8.3, 12.5, 37.5, 16.7, 16.7, 8.3, None, None, None, None, None, None, None, None, None]"
59,Biol Sys Eng Dsgn Practicum II,ALS,112,509,001,46,3.571,"[10.9, 13.0, 6.5, None, None, None, None, None, None, None, None, None, 69.6, None, None]"
60,Biol Sys Eng Dsgn Practicum II,ALS,112,699,014,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
61,Biol Sys Eng Dsgn Practicum II,ALS,112,699,030,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
62,Special Problems,ALS,112,799,030,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
63,Special Problems,ALS,112,799,035,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
64,Special Problems,ALS,112,799,038,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
65,Practicum-Ag Engr Teaching,ALS,112,875,001,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
66,Practicum-Ag Engr Teaching,ALS,112,875,005,6,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
67,Seminar,ALS,112,900,001,10,3.9,"[90.0, None, 10.0, None, None, None, None, None, None, None, None, None, None, None, None]"
68,Seminar,ALS,112,990,003,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
69,Seminar,ALS,112,990,009,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
70,Seminar,ALS,112,990,010,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
71,Seminar,ALS,112,990,014,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
72,Seminar,ALS,112,990,018,6,,"[None, None, None, None, None, None, None, None, None, None, None, 100.0, None, None, None]"
73,Seminar,ALS,112,990,021,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
74,Seminar,ALS,112,990,025,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
75,Seminar,ALS,112,990,030,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
76,Seminar,ALS,112,990,031,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
